,State Name,pop_2015,pop_2016,pop_2017,pop_2018,pop_2019,pop_2020,pop_2021,GDP_2015,GDP_2016,GDP_2017,GDP_2018,GDP_2019,GDP_2020,GDP_2021,percapita_2015,percapita_2016,percapita_2017,percapita_2018,percapita_2019,percapita_2020,percapita_2021,personal_consumption_2015,personal_consumption_2016,personal_consumption_2017,personal_consumption_2018,personal_consumption_2019,personal_consumption_2020,personal_consumption_2021
0,Alabama,4858979,4863300,4874747,4887871,4903185,5024803,5039877,191778.0,195414.6,198544.8,201291.6,204465.8,204400.7,213029.2,0.03946878552057953,0.040181481709950034,0.040729252205293935,0.04118185606780539,0.04170060888993583,0.04067835097216747,0.04226872997098938,12471.7,12741.1,13003.7,13425.9,13851.2,15107.6,16433.8
1,Alaska,738432,741894,739795,737438,731545,732441,732673,54541.5,53874.6,54159.9,53303.1,53585.5,51069.4,51143.5,0.07386123569942797,0.07261765157825781,0.07320933501848485,0.07228146637412229,0.07324976590640357,0.06972493347587042,0.06980399168524021,2773.3,2721.7,2707.8,2741.0,2778.2,2902.5,3018.4
2,Arizona,6828065,6931071,7016270,7171646,7278717,7177986,7276316,284969.4,294532.4,308216.8,317215.3,330709.7,338182.1,357322.0,0.04173501570357049,0.042494500489174046,0.04392886818779779,0.04423186810949676,0.04543516391693756,0.047113786513375756,0.0491075428829644,18537.3,19046.5,20009.6,20494.1,20787.4,23061.1,24348.5
3,Arkansas,2978204,2988248,3004279,3013825,3017804,3012232,3025891,112732.8,113734.1,114933.5,116546.1,118152.6,119689.9,124837.0,0.03785261184257358,0.03806046218386158,0.03825660000286259,0.03867049347589857,0.03915184683962246,0.03973462203442497,0.04125627790293834,7206.8,7445.5,7595.0,7678.9,7729.2,8549.9,9458.6
4,California,39144818,39250017,39536653,39557045,39512223,39499738,39237836,2369653.2,2456691.1,2599753.8,2674799.7,2772640.2,2746311.9,2942968.5,0.060535552879566336,0.0625908289415518,0.06575553575564426,0.06761879457881649,0.07017170863810929,0.06952734471302062,0.0750033335171695,113368.8,116078.5,119796.3,123086.1,127768.6,140352.0,151641.2
5,Colorado,5456574,5540545,5607154,5695564,5758736,5784308,5812069,315418.9,324234.0,335938.7,347071.2,364015.4,358077.8,382270.9,0.05780530054206175,0.05852023582517604,0.05991251533309055,0.060937108247752114,0.06321098935599757,0.06190503686871446,0.06577191358189313,17381.8,18325.6,19271.2,19810.5,20636.1,22705.6,23819.4
6,Connecticut,3590886,3576452,3588184,3572665,3565287,3600260,3605597,242686.1,243894.5,248790.5,249812.0,251582.1,240149.7,250638.6,0.06758390547625294,0.06819454028741334,0.06933604854154636,0.0699231526045683,0.07056433325003009,0.06670343252987285,0.06951375874785784,11711.5,11809.7,12121.2,12072.1,12171.1,13170.0,14440.2
7,Delaware,945934,952065,961939,967171,973764,991886,1003384,65537.4,62364.6,59973.4,62310.9,64930.1,63024.4,65623.9,0.06928326923442861,0.06550456113815759,0.06234636499819635,0.06442593915657108,0.06667950345258193,0.06353996326190711,0.06540257767714056,2885.5,2884.9,2949.4,3061.0,3104.2,3436.1,3656.8
8,Florida,20271272,20612439,20984400,21299325,21477737,21569932,21781128,865203.9,894374.5,924744.6,947689.8,975960.5,973451.2,1064392.2,0.04268128314789521,0.043390037442924634,0.04406819351518271,0.044493888890845136,0.04544056480438326,0.04513000782756292,0.04886763440350748,61698.9,63644.8,66212.9,69175.4,72444.9,78828.1,84644.5
9,Georgia,10214860,10310371,10429379,10519475,10617423,10725800,10799566,494168.7,512918.2,532479.6,544533.3,562006.2,548285.2,586183.0,0.048377432485614096,0.049747792780686556,0.05105573399911922,0.05176430382694954,0.05293244886259123,0.05111835014637602,0.054278384890652086,29235.7,29619.4,31407.8,32300.4,33344.6,36632.9,39947.9
10,Hawaii,1431603,1428557,1427538,1420491,1415872,1451911,1441553,76537.4,77761.6,79300.0,79780.0,79502.4,70050.9,75845.4,0.05346272674756898,0.05443366978006478,0.05555018500383177,0.056163678615352014,0.05615083849387515,0.048247378799389215,0.05261367428044615,4998.8,5099.4,5299.0,5543.1,5780.5,6294.8,6698.2
